sample,gt_notes,gt_midi,fft_f1,fft_res,fft_n,smr_f1,smr_res,smr_n,uni_f1,uni_res,uni_n,mut_f1,mut_res,mut_n
69,5,"[44, 55, 84, 85, 91]",0.33333333333330556,13.137498861299719,12,0.44444444444439507,10.22614613579363,9,0.7499999999998125,3.79169054308052,4,0.9999999999997999,0.018564761245522816,5
70,6,"[37, 53, 73, 86, 92, 94]",0.41666666666663194,10.956864407034585,12,0.36363636363633056,12.670670142518158,11,0.9999999999998334,0.014303474789621294,6,0.9999999999998334,0.014303474789621294,6
71,5,"[44, 71, 73, 82, 84]",0.41666666666663194,10.047606213631862,12,0.44444444444439507,5.6915929509109455,9,0.79999999999984,1.6669330745071074,5,0.9999999999997999,0.012110180270929437,5
72,3,"[37, 56, 58]",0.24999999999997916,16.60269769668438,12,0.29999999999997,10.576280003101061,10,0.9999999999996666,0.02330232104303819,3,0.9999999999996666,0.02330232104303819,3
73,4,"[59, 82, 92, 94]",0.33333333333330556,13.557441503461135,12,0.6666666666664445,14.138540793736107,3,0.99999999999975,0.015637690023418496,4,0.99999999999975,0.015637688061796554,4
74,4,"[57, 88, 89, 96]",0.33333333333330556,13.975061408983375,12,0.29999999999997,22.692088478718667,10,0.99999999999975,0.01809792403743641,4,0.99999999999975,0.01809792403743641,4
75,5,"[41, 47, 80, 93, 94]",0.33333333333330556,20.309156044991614,12,0.27272727272724795,23.873086990379676,11,0.9999999999997999,0.019104461635860742,5,0.4285714285713673,2.5102964427273666,7
76,4,"[44, 56, 68, 82]",0.33333333333330556,16.234076228488597,12,0.39999999999996,11.713991501087731,10,0.99999999999975,0.021027022963350205,4,0.99999999999975,0.021027022963350205,4
77,6,"[36, 51, 80, 81, 89, 95]",0.41666666666663194,12.413401223685328,12,0.36363636363633056,18.338790342328004,11,0.9999999999998334,0.01666326227000737,6,0.9999999999998334,0.01666326227000737,6
78,4,"[70, 74, 88, 94]",0.33333333333330556,18.84669667365338,12,0.36363636363633056,22.09687432655344,11,0.99999999999975,0.019533694880626087,4,0.99999999999975,0.019533694880626087,4
79,3,"[57, 59, 92]",0.24999999999997916,11.193472460356926,12,0.29999999999997,11.38315962455084,10,0.9999999999996666,0.00747876615573549,3,0.9999999999996666,0.007478764025496044,3
